AK12_lead_mass,AK12_lead_pt,DR_AK12_tau,HTT_boosted,HTT_boosted_WithKinFit,HTT_semi_boosted,HTT_semi_boosted_WithKinFit,HTTv2_lead_mass,HTTv2_lead_pt,HadTop_eta,HadTop_pt,HadTop_pt_CSVsort3rd,HadTop_pt_CSVsort3rd_WithKinFit,HadTop_pt_boosted,HadTop_pt_boosted_WithKinFit,HadTop_pt_highestCSV,HadTop_pt_highestCSV_WithKinFit,HadTop_pt_multilep,HadTop_pt_semi_boosted,HadTop_pt_semi_boosted_WithKinFit,avg_dr_jet,b1_loose_pt,b1_pt,b2_loose_pt,b2_pt,detabb,detabb_loose,dr_lep1_tau_os,dr_lep2_tau_ss,dr_leps,drbb,drbb_loose,evtWeight,fitHTptoHTmass,fitHTptoHTpt,fittedHadTop_eta,fittedHadTop_pt,genTopPt,genTopPt_CSVsort3rd,genTopPt_CSVsort3rd_WithKinFit,genTopPt_boosted,genTopPt_boosted_WithKinFit,genTopPt_highestCSV,genTopPt_highestCSV_WithKinFit,genTopPt_multilep,genTopPt_semi_boosted,genTopPt_semi_boosted_WithKinFit,genWeight,htmiss,lep1_conePt,lep1_eta,lep1_fake_prob,lep1_genLepPt,lep1_pt,lep1_tth_mva,lep2_conePt,lep2_eta,lep2_fake_prob,lep2_genLepPt,lep2_pt,lep2_tth_mva,mT_lep1,mT_lep2,mTauTauVis,max_lep_eta,mbb,mbb_loose,minDR_AK12_L,minDR_AK12_lep,minDR_HTTv2_L,minDR_HTTv2_lep,minDR_HTTv2_tau,min_lep_eta,mindr_lep1_jet,mindr_lep2_jet,mindr_tau_jet,ptbb,ptbb_loose,ptmiss,res-HTT,res-HTT_CSVsort3rd,res-HTT_CSVsort3rd_WithKinFit,res-HTT_IHEP,res-HTT_highestCSV,res-HTT_highestCSV_WithKinFit,tau_eta,tau_fake_prob,tau_genTauPt,tau_mva,tau_pt,N_jetAK12,N_jetAK8,bWj1Wj2_isGenMatchedWithKinFit,bWj1Wj2_isGenMatched_CSVsort3rd,bWj1Wj2_isGenMatched_CSVsort3rd_WithKinFit,bWj1Wj2_isGenMatched_IHEP,bWj1Wj2_isGenMatched_boosted,bWj1Wj2_isGenMatched_boosted_WithKinFit,bWj1Wj2_isGenMatched_highestCSV,bWj1Wj2_isGenMatched_highestCSV_WithKinFit,bWj1Wj2_isGenMatched_semi_boosted,bWj1Wj2_isGenMatched_semi_boosted_WithKinFit,hadtruth,hadtruth_boosted,hadtruth_semi_boosted,lep1_charge,lep1_isTight,lep1_tau_charge,lep2_charge,lep2_isTight,nBJetLoose,nBJetMedium,nElectron,nHTTv2,nJet,nLep,nMuon,nTau,tau_charge,tau_isTight,run,luminosityBlock,event,
158.0,210.32848,3.024576,0.0,0.0,0.43756104,0.0,-1.0,-1.0,2.2650626,71.64889,71.64889,71.64889,0.0,0.0,71.64889,71.64889,0.0,210.32848,0.0,2.6489973,106.76567,106.76567,83.92406,83.92406,2.2183228,2.2183228,3.0074346,2.4745202,1.3951651,3.2106266,3.2106266,0.034044474,1.0,1.0,2.2650626,71.64889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6983,60.387123,91.70854,0.27062988,1.0,93.5,91.70854,0.99420166,42.110466,0.62609863,1.0,42.25,42.110466,0.9945679,99.31996,81.16773,75.615265,0.62609863,310.0944,310.0944,0.57980794,0.57980794,-1.0,-1.0,-1.0,0.27062988,1.0151985,1.0656638,1.065585,78.89157,78.89157,39.345367,0.3480714,0.005957888,0.0054672263,-1.0,0.0012713949,0.0010345017,1.5983887,0.16965736,0.0,0.4946289,27.505121,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-1,1,2,2,1,0,3,2,1,1,1,0,1,332,320960,
70.625,156.37303,3.2777345,0.0,0.0,0.9465495,0.0,-1.0,-1.0,1.2636542,66.88071,58.346794,67.78879,0.0,0.0,58.346794,58.346794,58.346794,156.37303,0.0,3.0860744,85.86821,85.86821,43.9582,43.9582,0.36157227,0.36157227,1.8875872,2.9041057,2.4192321,1.8592277,1.8592277,0.03796239,1.0,1.0,1.2636542,66.88071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6983,39.1006,44.87765,-1.1398926,1.0,44.25,44.87765,0.9963989,41.19223,0.42797852,1.0,40.625,41.19223,0.99661255,123.4328,67.04054,48.2416,0.42797852,102.669395,102.669395,0.5827578,0.5827578,-1.0,-1.0,-1.0,-1.1398926,0.75336325,1.2747613,0.77420133,86.11917,86.11917,85.066025,0.57627267,0.029816458,0.006030709,-0.9999319,0.0012488746,0.004965342,0.22320557,0.1757612,0.0,-0.040130615,21.335756,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-1,1,2,2,0,0,5,2,2,1,1,0,1,332,320982,
59.34375,148.86934,3.199718,0.0,0.0,0.6264079,0.0,-1.0,-1.0,0.75792456,179.14642,98.07945,179.14642,0.0,0.0,98.07945,98.07945,98.07945,148.86934,0.0,2.3667254,290.23245,-1.0,29.161016,-1.0,-1.0,2.001831,3.5280628,1.6387317,3.0745752,-1.0,2.5464365,0.05349378,1.0,1.0,0.75792456,179.14642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6983,256.2114,58.600872,-0.75061035,1.0,58.5,58.600872,0.9975281,18.279896,0.65966797,1.0,14.8125,14.958834,0.1991272,115.81482,110.87606,153.29514,0.65966797,-1.0,258.21616,2.0149896,2.0149896,-1.0,-1.0,-1.0,-0.75061035,2.890144,0.48036677,0.5939335,-1.0,291.60504,228.00784,0.44908205,0.12959875,0.0643041,-0.9664778,0.02359071,0.031601228,1.8308105,0.17043395,0.0,0.25952148,27.140688,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,2,0,1,0,5,2,1,1,-1,0,1,332,321425,
100.875,233.25278,2.311929,0.0,0.0,0.036563244,0.0,-1.0,-1.0,0.27989736,101.335526,101.335526,101.335526,0.0,0.0,101.335526,101.335526,101.335526,233.25278,0.0,2.43967,54.74972,54.74972,-1.0,-1.0,-1.0,-1.0,3.140566,2.3951294,1.6640565,-1.0,-1.0,0.05087155,1.0,1.0,0.27989736,101.335526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6983,234.53519,26.863396,-2.0551758,1.0,26.625,26.863396,0.97766113,15.814858,-0.5501709,1.0,11.9375,11.857939,0.6173096,133.28342,93.5659,55.91507,-0.5501709,-1.0,-1.0,0.9086013,0.9086013,-1.0,-1.0,-1.0,-2.0551758,1.0205367,0.625542,1.6434654,-1.0,-1.0,184.68944,0.65854365,0.4019315,0.47610942,-0.049021695,0.086442396,0.14076845,-1.1882324,0.17168944,0.0,-0.1303711,24.229263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,1,1,1,0,4,2,1,1,-1,0,1,334,323423,
174.125,263.47034,3.5988765,0.0,0.0,0.060491536,0.0,-1.0,-1.0,1.9063799,26.332596,26.332596,26.332596,0.0,0.0,26.332596,26.332596,0.0,263.47034,0.0,2.7384853,107.36328,107.36328,-1.0,-1.0,-1.0,-1.0,3.6741464,3.771305,2.9306324,-1.0,-1.0,0.077327706,1.0,1.0,1.9063799,26.332596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6983,36.001324,121.88829,-1.050293,1.0,126.75,121.88829,0.9911804,111.140366,-1.7060547,1.0,117.5,111.140366,0.99432373,49.61497,107.98714,225.26497,-1.050293,-1.0,-1.0,0.3367516,0.3367516,-1.0,-1.0,-1.0,-1.7060547,0.6850306,1.0763055,0.78033197,-1.0,-1.0,28.585634,0.0939046,0.05017247,0.059272002,-1.0,0.020956809,0.0072223214,1.8701172,0.18369775,0.0,-0.012321472,20.996635,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,1,1,1,2,0,3,2,0,1,1,0,1,335,323690,
121.5625,184.0909,1.9202367,0.0,0.0,0.030821333,0.0,-1.0,-1.0,0.8979365,94.69977,200.49593,114.19958,0.0,0.0,114.19958,114.19958,0.0,184.0909,0.0,3.1412382,71.87118,71.87118,41.883232,41.883232,2.1967163,2.1967163,2.0169544,4.320075,2.7843482,3.4017673,3.4017673,0.05524906,1.0,1.0,0.8979365,94.69977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6983,135.57315,100.728294,0.70422363,1.0,101.5,100.728294,0.9973755,52.10124,-2.069336,0.07738381,0.0,33.868156,-0.80633545,139.18141,88.09001,109.08177,0.70422363,181.97388,181.97388,0.40321428,0.40321428,-1.0,-1.0,-1.0,-2.069336,1.1284299,0.029089639,1.9690825,42.059093,42.059093,79.66395,0.16316131,0.062454972,0.0598273,-1.0,0.034262616,0.05161188,2.0688477,0.16583152,0.0,0.17211914,29.53426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,0,2,2,1,0,4,2,1,1,1,0,1,335,324365,
118.4375,289.85138,3.4417076,0.0,0.0,0.40732512,0.0,-1.0,-1.0,1.4158502,89.87945,110.48059,110.48059,0.0,0.0,110.48059,89.87945,89.87945,140.8844,0.0,1.981088,55.72683,55.72683,26.134878,-1.0,-1.0,1.8355834,1.3315774,2.0697956,3.3845665,-1.0,3.164807,0.037258588,1.0,1.0,1.4158502,89.87945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6983,16.252977,263.97043,1.0952148,1.0,258.0,263.97043,0.9976196,124.94241,-0.19818115,1.0,124.75,124.94241,0.99209595,52.98594,160.71596,94.19155,1.0952148,-1.0,109.55463,1.8562012,1.8562012,-1.0,-1.0,-1.0,-0.19818115,2.7704008,0.6157356,1.4541596,-1.0,36.414433,54.181538,0.9218594,0.41748607,0.58820903,0.8554147,0.1232396,0.18384641,0.43798828,0.17705032,0.0,-0.070251465,20.424198,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,1,2,1,1,0,4,2,1,1,-1,0,1,335,324518,
137.375,173.48459,1.8170319,0.0,0.0,0.4484726,0.0,-1.0,-1.0,0.12768987,154.48721,154.48721,154.48721,0.0,0.0,154.48721,154.48721,154.48721,173.48459,0.0,0.96832925,70.731575,70.731575,-1.0,-1.0,-1.0,-1.0,1.7075773,2.3340187,0.99896705,-1.0,-1.0,0.07542913,1.0,1.0,0.12768987,154.48721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6983,85.84593,38.36678,1.1516113,1.0,37.125,38.36678,0.9812317,35.624783,0.21157837,1.0,35.375,35.624783,0.95098877,38.276917,19.20232,41.309185,1.1516113,-1.0,-1.0,1.8170319,2.6150281,-1.0,-1.0,-1.0,0.21157837,2.35983,2.5830178,1.2663099,-1.0,-1.0,82.54539,0.05845265,0.01731277,0.016784845,-0.99759245,0.0029112315,0.005278584,0.0052690506,0.17643178,0.0,0.8071289,20.861307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-1,1,1,1,1,0,3,2,1,1,1,1,1,336,325142,
79.25,186.17813,3.1942115,0.0,0.0,0.57535905,0.0,-1.0,-1.0,3.80705,11.320344,11.320344,11.320344,0.0,0.0,11.320344,11.320344,11.320344,161.66487,0.0,2.7811654,57.99565,57.99565,27.638815,-1.0,-1.0,0.4177246,3.1623266,0.6384272,3.361294,-1.0,2.6471798,0.063632175,1.0,1.0,3.80705,11.320344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6983,21.363056,78.72833,0.8182373,1.0,75.0,75.877,0.8959961,77.94943,-0.8709717,1.0,77.0,77.94943,0.9651489,136.50812,7.98778,144.31169,0.8182373,-1.0,81.873566,0.28293678,0.28293678,-1.0,-1.0,-1.0,-0.8709717,0.7293443,0.90214497,0.5979468,-1.0,36.843502,61.619507,0.8847203,0.36788955,0.37410915,-0.5836466,0.072779976,0.13167825,0.68566895,0.15683411,0.0,0.5629883,39.260044,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,-1,1,2,1,2,0,3,2,0,1,1,0,1,424,409806,
90.375,130.57182,2.3930218,0.0,0.0,0.57062715,0.0,-1.0,-1.0,0.24801403,154.89426,154.89426,154.89426,0.0,0.0,154.89426,154.89426,154.89426,130.57182,0.0,1.2620372,69.45595,69.45595,-1.0,-1.0,-1.0,-1.0,2.8035834,0.39103332,3.1303535,-1.0,-1.0,0.0565561,1.0,1.0,0.24801403,154.89426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6983,160.53738,26.41405,0.98217773,1.0,26.4375,26.41405,0.99038696,14.057769,1.1083984,1.0,11.4375,11.6675625,-0.7279053,121.30427,46.11612,46.9206,1.1083984,-1.0,-1.0,1.7866931,1.7866931,-1.0,-1.0,-1.0,0.98217773,1.1216706,1.57206,1.2338992,-1.0,-1.0,183.74725,0.61993855,0.63959974,0.69858336,-0.48441833,0.42491952,0.35064963,0.8919678,0.17568362,0.0,0.34765625,21.390673,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,0,1,1,0,0,3,2,2,1,1,0,1,424,410113,
