AK12_lead_mass,AK12_lead_pt,DR_AK12_tau,HTT_boosted,HTT_boosted_WithKinFit,HTT_semi_boosted,HTT_semi_boosted_WithKinFit,HTTv2_lead_mass,HTTv2_lead_pt,HadTop_eta,HadTop_pt,HadTop_pt_CSVsort3rd,HadTop_pt_CSVsort3rd_WithKinFit,HadTop_pt_boosted,HadTop_pt_boosted_WithKinFit,HadTop_pt_highestCSV,HadTop_pt_highestCSV_WithKinFit,HadTop_pt_multilep,HadTop_pt_semi_boosted,HadTop_pt_semi_boosted_WithKinFit,avg_dr_jet,b1_loose_pt,b1_pt,b2_loose_pt,b2_pt,detabb,detabb_loose,dr_lep1_tau_os,dr_lep2_tau_ss,dr_leps,drbb,drbb_loose,evtWeight,fitHTptoHTmass,fitHTptoHTpt,fittedHadTop_eta,fittedHadTop_pt,genTopPt,genTopPt_CSVsort3rd,genTopPt_CSVsort3rd_WithKinFit,genTopPt_boosted,genTopPt_boosted_WithKinFit,genTopPt_highestCSV,genTopPt_highestCSV_WithKinFit,genTopPt_multilep,genTopPt_semi_boosted,genTopPt_semi_boosted_WithKinFit,genWeight,htmiss,lep1_conePt,lep1_eta,lep1_fake_prob,lep1_genLepPt,lep1_pt,lep1_tth_mva,lep2_conePt,lep2_eta,lep2_fake_prob,lep2_genLepPt,lep2_pt,lep2_tth_mva,mT_lep1,mT_lep2,mTauTauVis,max_lep_eta,mbb,mbb_loose,minDR_AK12_L,minDR_AK12_lep,minDR_HTTv2_L,minDR_HTTv2_lep,minDR_HTTv2_tau,min_lep_eta,mindr_lep1_jet,mindr_lep2_jet,mindr_tau_jet,ptbb,ptbb_loose,ptmiss,res-HTT,res-HTT_CSVsort3rd,res-HTT_CSVsort3rd_WithKinFit,res-HTT_IHEP,res-HTT_highestCSV,res-HTT_highestCSV_WithKinFit,tau_eta,tau_fake_prob,tau_genTauPt,tau_mva,tau_pt,N_jetAK12,N_jetAK8,bWj1Wj2_isGenMatchedWithKinFit,bWj1Wj2_isGenMatched_CSVsort3rd,bWj1Wj2_isGenMatched_CSVsort3rd_WithKinFit,bWj1Wj2_isGenMatched_IHEP,bWj1Wj2_isGenMatched_boosted,bWj1Wj2_isGenMatched_boosted_WithKinFit,bWj1Wj2_isGenMatched_highestCSV,bWj1Wj2_isGenMatched_highestCSV_WithKinFit,bWj1Wj2_isGenMatched_semi_boosted,bWj1Wj2_isGenMatched_semi_boosted_WithKinFit,hadtruth,hadtruth_boosted,hadtruth_semi_boosted,lep1_charge,lep1_isTight,lep1_tau_charge,lep2_charge,lep2_isTight,nBJetLoose,nBJetMedium,nElectron,nHTTv2,nJet,nLep,nMuon,nTau,tau_charge,tau_isTight,run,luminosityBlock,event,
93.9375,154.55334,0.9529982,0.0,0.0,0.69983405,0.0,-1.0,-1.0,3.4349728,63.717453,63.717453,63.717453,0.0,0.0,63.717453,63.717453,0.0,154.55334,0.0,3.1827486,132.01634,132.01634,95.61304,-1.0,-1.0,0.7553711,3.125856,2.6109576,2.444958,-1.0,2.5963044,0.05440689,1.0,1.0,3.4349728,63.717453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6983,92.427795,83.149185,-0.47784424,1.0,81.25,83.149185,0.99697876,45.0599,-2.4169922,1.0,34.5,36.326794,0.78756714,103.77711,116.596924,105.916664,-0.47784424,-1.0,231.73993,0.9529982,1.7467186,-1.0,-1.0,-1.0,-2.4169922,1.8122076,1.3037487,1.2274631,-1.0,81.17744,97.96676,0.0598179,0.09959349,0.04211286,-1.0,0.013241905,0.024084944,-0.38153076,0.15912242,0.0,0.39086914,33.647213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,3,1,1,0,4,2,1,1,-1,0,1,25051,23334316,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.4406207,82.935844,154.43883,154.43883,0.0,0.0,91.95754,154.43883,82.935844,0.0,0.0,2.273755,91.14101,91.14101,-1.0,-1.0,-1.0,-1.0,3.089247,2.096763,1.6108441,-1.0,-1.0,0.072406225,1.0,1.0,1.4406207,82.935844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6983,87.389114,42.49909,0.2059021,1.0,41.625,42.49909,0.9906006,20.6358,0.057418823,1.0,20.4375,20.6358,0.9449768,79.74143,5.13556,93.625015,0.2059021,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.057418823,0.8991763,1.2034154,2.6827626,-1.0,-1.0,63.719532,0.53100127,0.5273768,0.5659415,-0.70907253,0.2761698,0.3295185,1.9174805,0.16897957,0.0,0.7661133,27.863573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,1,1,1,1,0,4,2,1,1,1,1,1,25051,23334623,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.63996744,123.331825,123.331825,123.331825,0.0,0.0,123.331825,123.331825,123.331825,0.0,0.0,1.3989826,79.99505,79.99505,-1.0,-1.0,-1.0,-1.0,2.145359,2.6433523,2.0120609,-1.0,-1.0,0.02946944,1.0,1.0,0.63996744,123.331825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6983,102.19451,30.085657,-1.0588379,1.0,26.1875,26.603296,0.8560791,19.261517,-1.1020508,1.0,18.875,19.261517,0.96499634,64.73874,88.74708,63.452522,-1.0588379,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.1020508,1.0254128,1.3948814,2.0562205,-1.0,-1.0,103.26767,0.4923141,0.022966325,0.08259541,-0.9799277,0.0059449878,0.008923082,-0.0029931068,0.15693186,0.0,0.22497559,39.713978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,1,1,1,0,3,2,1,1,-1,0,1,25051,23334764,
147.375,163.91641,2.1728673,0.0,0.0,0.40904403,0.0,-1.0,-1.0,1.8569072,87.28433,87.28433,25.439528,0.0,0.0,87.28433,87.28433,87.28433,163.91641,0.0,2.2367566,75.57739,75.57739,32.356953,-1.0,-1.0,1.5638428,3.0848022,1.8012006,2.4031484,-1.0,1.7122452,0.049219757,1.0,1.0,1.8569072,87.28433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6983,131.3036,52.700657,1.2712402,1.0,51.75,52.700657,0.98617554,28.098778,-0.50146484,1.0,27.5625,28.098778,0.9303894,166.11505,120.55961,69.61913,1.2712402,-1.0,93.81531,0.5889934,0.5889934,-1.0,-1.0,-1.0,-0.50146484,1.0802288,1.3838263,1.411339,-1.0,102.50995,154.11078,0.6972896,0.21778664,0.10977737,-0.8816968,0.045091733,0.10452678,0.1333313,1.0,17.125,0.23413086,39.134525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-2,1,1,3,1,1,0,4,2,1,1,-1,0,1,25051,23334830,
138.75,201.75241,0.546248,0.0,0.0,0.15598325,0.0,-1.0,-1.0,1.1175091,70.61091,70.61091,70.61091,0.0,0.0,70.61091,70.61091,70.61091,201.75241,0.0,2.7711334,91.0786,63.935535,63.935535,-1.0,-1.0,1.7285156,2.9103696,1.0929221,2.340028,-1.0,1.9159938,0.06282866,1.0,1.0,1.1175091,70.61091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6983,124.93521,71.882324,0.54211426,1.0,71.5,71.882324,0.9934387,41.29856,-1.0495605,1.0,42.5,41.29856,0.9824219,118.377,105.07997,122.825066,0.54211426,-1.0,166.61755,0.546248,0.7593659,-1.0,-1.0,-1.0,-1.0495605,1.4278425,0.98101425,0.6125134,-1.0,142.37999,332.6108,0.890911,0.608407,0.5577743,-0.4731687,0.1706681,0.25025165,-0.5612793,0.15715662,0.0,0.22973633,40.763752,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,1,2,1,1,0,5,2,1,1,1,0,1,25051,23335164,
223.875,266.61795,3.4544544,0.0,0.0,0.44392976,0.0,-1.0,-1.0,2.3776462,85.42305,70.90904,70.90904,0.0,0.0,70.90904,70.90904,70.90904,266.61795,0.0,2.4896395,107.334816,107.334816,34.57403,34.57403,2.5396118,2.5396118,1.9338144,2.922192,1.1216602,3.306941,3.306941,0.056171533,1.0,1.0,2.3776462,85.42305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6983,187.35016,77.11465,1.2900391,1.0,79.0,77.11465,0.9906006,33.13731,0.41455078,1.0,32.25,33.13731,0.99090576,212.25006,118.363,65.750755,1.2900391,228.37215,228.37215,0.9167283,0.9167283,-1.0,-1.0,-1.0,0.41455078,1.2148855,0.857001,0.5454279,94.095665,94.095665,155.73973,0.69698244,0.08709537,0.07530493,-0.999685,0.044017315,0.026265701,-0.1194458,0.15564768,0.0,0.27441406,45.617386,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-2,1,1,2,2,1,0,4,2,1,1,-1,0,1,25052,23335229,
158.5,299.66238,2.3403518,0.0,0.0,0.20926303,0.0,-1.0,-1.0,1.8298203,179.3213,179.3213,179.3213,0.0,0.0,179.3213,179.3213,0.0,299.66238,0.0,2.9592423,150.39827,-1.0,26.062485,-1.0,-1.0,0.79382324,1.8665526,2.9033022,1.0886747,-1.0,1.780504,0.052644935,1.0,1.0,1.8298203,179.3213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6983,100.12086,72.61229,0.011644363,1.0,73.25,72.61229,0.9971924,70.53152,0.35028076,1.0,71.75,70.53152,0.9789734,110.32354,50.744366,72.094444,0.35028076,-1.0,105.299416,0.4824521,0.4824521,-1.0,-1.0,-1.0,0.011644363,0.9609914,0.54646516,2.1077163,-1.0,152.04921,69.653305,0.10564708,0.0060398825,0.0052034603,-1.0,0.00043237171,0.001354797,0.21401978,0.16579874,0.0,0.48876953,28.41498,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-2,1,1,2,0,0,0,3,2,2,1,-1,0,1,37961,35360167,
101.0,167.39383,3.0295806,0.0,0.0,0.37570247,0.0,-1.0,-1.0,1.3270127,89.43804,89.43804,89.43804,0.0,0.0,89.43804,89.43804,0.0,167.39383,0.0,3.234452,44.621548,44.621548,-1.0,-1.0,-1.0,-1.0,3.2603118,2.7855728,0.6398133,-1.0,-1.0,0.065209426,1.0,1.0,1.3270127,89.43804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6983,143.33081,92.12845,0.4005127,1.0,93.75,92.12845,0.99612427,23.296448,0.8330078,1.0,21.8125,23.296448,0.97628784,105.14806,54.617767,155.46405,0.8330078,-1.0,-1.0,0.30037585,0.30037585,-1.0,-1.0,-1.0,0.4005127,1.0191981,1.1216328,1.7910949,-1.0,-1.0,32.023003,0.24509196,0.0011037781,0.0019740448,-1.0,0.0009868292,0.0009051654,1.4348145,0.15394305,0.0,-0.04586792,50.780296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,1,1,1,1,0,3,2,1,1,-1,0,1,37961,35360256,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0960836,44.314598,44.314598,173.03668,0.0,0.0,44.314598,44.314598,44.314598,0.0,0.0,2.0811627,34.158203,34.158203,25.624622,-1.0,-1.0,0.009765625,0.81813097,3.1210036,2.3545856,-1.0,2.6537044,0.00025585765,1.0,1.0,2.0960836,44.314598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6983,122.56057,46.699924,-0.3397827,1.0,46.75,46.699924,0.9660034,31.675127,1.4484863,1.0,30.5625,31.675127,0.9519348,136.29611,45.621124,22.651276,1.4484863,-1.0,59.87004,-1.0,-1.0,-1.0,-1.0,-1.0,-0.3397827,1.3177204,3.1383646,3.3922644,-1.0,16.64591,119.90114,0.7919595,0.19756423,0.088172846,-0.9744378,0.052711993,0.063004844,2.2314453,0.17917778,0.0,0.7817383,23.075653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-1,1,2,1,1,0,4,2,1,1,1,1,1,37961,35360240,
92.125,169.20107,2.6797514,0.0,0.0,0.48625112,0.0,-1.0,-1.0,1.3107284,44.655724,44.655724,44.655724,0.0,0.0,44.655724,44.655724,44.655724,149.42946,0.0,1.9343729,53.219013,53.219013,-1.0,-1.0,-1.0,-1.0,0.5279055,2.6898634,2.7990406,-1.0,-1.0,0.020040894,1.0,1.0,1.3107284,44.655724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6983,25.398521,65.2541,-1.3435059,1.0,63.75,65.2541,0.9824219,52.047523,-1.8078613,1.0,53.75,54.56246,0.77993774,120.26961,129.29477,27.439444,-1.3435059,-1.0,-1.0,0.36200795,0.36200795,-1.0,-1.0,-1.0,-1.8078613,1.031923,0.8514973,0.6274269,-1.0,-1.0,111.31694,0.6716241,0.2873308,0.24025343,-0.82358223,0.099282436,0.112019345,-0.8724365,0.15717134,0.0,0.9536133,40.832817,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,1,1,2,0,4,2,0,1,-1,1,1,37962,35360884,
