AK12_lead_mass,AK12_lead_pt,DR_AK12_tau,HTT_boosted,HTT_boosted_WithKinFit,HTT_semi_boosted,HTT_semi_boosted_WithKinFit,HTTv2_lead_mass,HTTv2_lead_pt,HadTop_eta,HadTop_pt,HadTop_pt_CSVsort3rd,HadTop_pt_CSVsort3rd_WithKinFit,HadTop_pt_boosted,HadTop_pt_boosted_WithKinFit,HadTop_pt_highestCSV,HadTop_pt_highestCSV_WithKinFit,HadTop_pt_multilep,HadTop_pt_semi_boosted,HadTop_pt_semi_boosted_WithKinFit,avg_dr_jet,b1_loose_pt,b1_pt,b2_loose_pt,b2_pt,detabb,detabb_loose,dr_lep1_tau_os,dr_lep2_tau_ss,dr_leps,drbb,drbb_loose,evtWeight,fitHTptoHTmass,fitHTptoHTpt,fittedHadTop_eta,fittedHadTop_pt,genTopPt,genTopPt_CSVsort3rd,genTopPt_CSVsort3rd_WithKinFit,genTopPt_boosted,genTopPt_boosted_WithKinFit,genTopPt_highestCSV,genTopPt_highestCSV_WithKinFit,genTopPt_multilep,genTopPt_semi_boosted,genTopPt_semi_boosted_WithKinFit,genWeight,htmiss,lep1_conePt,lep1_eta,lep1_fake_prob,lep1_genLepPt,lep1_pt,lep1_tth_mva,lep2_conePt,lep2_eta,lep2_fake_prob,lep2_genLepPt,lep2_pt,lep2_tth_mva,mT_lep1,mT_lep2,mTauTauVis,max_lep_eta,mbb,mbb_loose,minDR_AK12_L,minDR_AK12_lep,minDR_HTTv2_L,minDR_HTTv2_lep,minDR_HTTv2_tau,min_lep_eta,mindr_lep1_jet,mindr_lep2_jet,mindr_tau_jet,ptbb,ptbb_loose,ptmiss,res-HTT,res-HTT_CSVsort3rd,res-HTT_CSVsort3rd_WithKinFit,res-HTT_IHEP,res-HTT_highestCSV,res-HTT_highestCSV_WithKinFit,tau_eta,tau_fake_prob,tau_genTauPt,tau_mva,tau_pt,N_jetAK12,N_jetAK8,bWj1Wj2_isGenMatchedWithKinFit,bWj1Wj2_isGenMatched_CSVsort3rd,bWj1Wj2_isGenMatched_CSVsort3rd_WithKinFit,bWj1Wj2_isGenMatched_IHEP,bWj1Wj2_isGenMatched_boosted,bWj1Wj2_isGenMatched_boosted_WithKinFit,bWj1Wj2_isGenMatched_highestCSV,bWj1Wj2_isGenMatched_highestCSV_WithKinFit,bWj1Wj2_isGenMatched_semi_boosted,bWj1Wj2_isGenMatched_semi_boosted_WithKinFit,hadtruth,hadtruth_boosted,hadtruth_semi_boosted,lep1_charge,lep1_isTight,lep1_tau_charge,lep2_charge,lep2_isTight,nBJetLoose,nBJetMedium,nElectron,nHTTv2,nJet,nLep,nMuon,nTau,tau_charge,tau_isTight,run,luminosityBlock,event,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.3574955,76.36222,76.36222,76.36222,0.0,0.0,76.36222,76.36222,76.36222,0.0,0.0,1.7275647,69.987305,69.987305,-1.0,-1.0,-1.0,-1.0,2.9552982,2.7378764,0.6431869,-1.0,-1.0,2.0700669e-05,1.0,1.0,2.3574955,76.36222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,24.120558,51.61317,0.46606445,0.10927583,0.0,44.800995,-0.48162842,49.835316,0.47851562,1.0,48.375,49.835316,0.9447632,48.737995,22.326973,76.676384,0.47851562,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.46606445,2.1882915,1.6103499,1.6514952,-1.0,-1.0,48.377045,0.2591159,0.043455914,0.07699563,-0.9788488,0.011587511,0.01653003,0.08467102,0.16547088,0.0,0.66552734,28.641687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-2,1,1,1,1,1,0,3,2,1,1,-1,1,1,26837,23739343,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.6611557,16.627985,16.627985,16.627985,0.0,0.0,16.627985,16.627985,16.627985,0.0,0.0,2.271904,70.79529,70.79529,-1.0,-1.0,-1.0,-1.0,1.6234354,3.1414168,2.388363,-1.0,-1.0,0.0027577265,1.0,1.0,2.6611557,16.627985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,46.05842,76.56823,-0.43322754,1.0,75.75,76.56823,0.99383545,24.338108,-1.8713379,0.109335735,0.0,20.594563,-0.2640686,87.61137,36.715534,39.78905,-0.43322754,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.8713379,1.6143717,2.896499,2.418623,-1.0,-1.0,27.041212,0.16883886,0.017919442,0.007933561,-0.9999455,0.0030876629,0.0036328149,-1.9436035,0.15522921,0.0,0.10412598,36.467434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-2,1,0,1,1,1,0,3,2,1,1,-1,0,1,27159,24024553,
401.0,504.94553,1.706982,0.03716062,0.0,0.2591318,0.0,331.25,417.20563,0.61795896,255.21494,448.22183,289.72028,417.20563,0.0,225.5167,289.72028,255.21494,504.94553,0.0,2.454023,186.44388,186.44388,-1.0,-1.0,-1.0,-1.0,1.2114804,1.8110476,3.0219712,-1.0,-1.0,0.005500966,1.0,1.0,0.61795896,255.21494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,61.092697,112.586205,-1.052002,1.0,108.0,112.586205,0.98742676,45.61424,0.39849854,0.092897,0.0,35.775497,-0.92233276,152.50449,24.382675,89.93065,0.39849854,-1.0,-1.0,0.8291611,0.8291611,0.9245616,0.9245616,1.6964377,-1.052002,0.53199273,0.7418254,0.68173873,-1.0,-1.0,66.85162,0.3560913,0.0917978,0.32487953,-0.99843556,0.04611046,0.34094387,-0.49560547,0.15364712,0.0,0.4645996,52.456562,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,0,1,1,0,1,5,2,2,1,1,0,1,40207,35567115,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0967209,71.58727,71.58727,71.58727,0.0,0.0,71.58727,71.58727,71.58727,0.0,0.0,1.9578394,51.003403,51.003403,-1.0,-1.0,-1.0,-1.0,2.54617,2.8333263,1.5788026,-1.0,-1.0,1.77514e-05,1.0,1.0,1.0967209,71.58727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,28.930725,75.77806,-0.40124512,1.0,76.25,75.77806,0.9882202,16.062054,0.13522339,0.085915,0.0,13.425609,-0.16129303,54.595158,18.121922,92.97147,0.13522339,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.40124512,1.6687082,0.5593555,1.244375,-1.0,-1.0,59.888096,0.5406872,0.40105662,0.23826805,-0.8996432,0.055935364,0.08464263,1.0258789,0.17624018,0.0,0.69384766,20.996803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,1,1,0,0,4,2,2,1,-1,1,1,27258,24112236,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.012980674,126.78476,126.78476,126.78476,0.0,0.0,126.78476,126.78476,126.78476,0.0,0.0,1.4809532,58.67935,58.67935,41.769592,41.769592,1.838501,1.838501,1.7044936,2.4154294,1.8718007,1.8882684,1.8882684,0.11783671,1.0,1.0,0.012980674,126.78476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,85.61687,55.445515,-0.4338379,0.10927583,0.0,49.59756,0.21108246,20.023794,-0.64489746,1.0,20.1875,20.023794,0.9814148,130.86061,32.13648,86.11612,-0.4338379,107.754074,107.754074,-1.0,-1.0,-1.0,-1.0,-1.0,-0.64489746,1.474449,2.035546,2.3048167,98.195625,98.195625,92.320854,0.61769354,0.121824995,0.13557567,-0.85275185,0.037802134,0.040810514,1.2355957,0.15728086,0.0,0.5126953,41.347664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,2,2,1,0,3,2,1,1,1,0,1,29068,25713799,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0075393,148.78891,148.78891,145.685,0.0,0.0,148.78891,103.15449,152.15398,0.0,0.0,2.5386243,166.82478,166.82478,74.17899,74.17899,3.5288086,3.5288086,2.7549143,3.4356003,0.7318125,3.9940095,3.9940095,0.08489475,1.0,1.0,2.0075393,148.78891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,25.902674,44.155674,-1.6240234,1.0,44.125,44.155674,0.9892273,10.579509,-2.222168,0.00664548,0.0,7.717197,-0.04220009,90.8685,36.792793,114.204346,-1.6240234,656.47406,656.47406,-1.0,-1.0,-1.0,-1.0,-1.0,-2.222168,1.9209865,1.7609643,1.1976038,161.309,161.309,46.842804,0.7244703,0.30514696,0.07243435,-0.96296394,0.05288834,0.06563928,1.0803223,0.17449075,0.0,0.6489258,22.23622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,0,3,2,0,0,5,2,2,1,1,1,1,31426,27799249,
79.9375,176.90506,1.7376258,0.0,0.0,0.36411804,0.0,-1.0,-1.0,2.2121491,190.24593,190.24593,190.24593,0.0,0.0,190.24593,190.24593,190.24593,176.90506,0.0,1.3127338,115.93426,115.93426,48.900574,-1.0,-1.0,0.6801758,2.433159,2.0226607,0.5519704,-1.0,1.3359916,0.122399315,1.0,1.0,2.2121491,190.24593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,121.43094,82.31315,0.41400146,0.11793338,0.0,82.31315,0.945343,35.75026,0.012224197,1.0,35.5,35.75026,0.9916687,118.49264,56.30491,89.23827,0.41400146,-1.0,103.251816,1.7376258,2.888344,-1.0,-1.0,-1.0,0.012224197,2.5327454,2.4113185,1.5790584,-1.0,143.0554,124.813286,0.529894,0.2778848,0.19444439,-0.9895357,0.02715102,0.05666257,0.40576172,0.15245977,0.0,0.6201172,61.310383,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-1,1,2,1,2,0,3,2,0,1,1,0,1,28844,25514934,
75.125,138.68364,3.0996175,0.0,0.0,0.29069567,0.0,-1.0,-1.0,1.337836,98.57089,98.57089,98.57089,0.0,0.0,98.57089,98.57089,98.57089,138.68364,0.0,2.267187,105.559555,105.559555,-1.0,-1.0,-1.0,-1.0,2.7515724,1.2914989,1.8872023,-1.0,-1.0,0.09218511,1.0,1.0,1.337836,98.57089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,14.481529,83.98433,-2.494629,0.06188945,0.0,74.57634,-0.4099579,35.340893,-1.5793457,1.0,36.125,35.340893,0.9888611,120.37326,69.32366,59.61033,-1.5793457,-1.0,-1.0,0.5848067,0.5848067,-1.0,-1.0,-1.0,-2.494629,2.7466106,0.9943063,1.5839946,-1.0,-1.0,50.82505,0.19259755,0.22188544,0.35757273,-0.5619388,0.02897439,0.067712665,-1.8049316,0.1732573,0.0,0.70410156,25.821764,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-2,1,1,1,1,1,0,3,2,1,1,-1,1,1,42628,37708134,
86.3125,142.93663,1.3517237,0.0,0.0,0.47091925,0.0,-1.0,-1.0,0.7692255,119.24855,119.24855,119.24855,0.0,0.0,119.24855,119.24855,119.24855,142.93663,0.0,1.9709625,95.576614,95.576614,32.986443,32.986443,0.80075073,0.80075073,1.7039617,2.1456687,3.352711,1.9554099,1.9554099,0.15348814,1.0,1.0,0.7692255,119.24855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,40.991234,144.41203,-0.10812378,1.0,141.0,144.41203,0.99728394,41.818264,-1.3959961,0.118161514,0.0,28.979385,-0.8810425,24.084286,91.2711,83.43615,-0.10812378,102.80025,102.80025,1.3517237,2.3428624,-1.0,-1.0,-1.0,-1.3959961,1.7882948,0.9506094,1.19508,94.28258,94.28258,73.29968,0.6592943,0.3793678,0.22758058,-0.57192886,0.03767428,0.07607826,0.13684082,0.1761847,0.0,0.87060547,21.036047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,2,2,1,0,3,2,1,1,-1,1,1,42546,37635599,
88.0625,164.3814,2.6284788,0.0,0.0,0.013213883,0.0,-1.0,-1.0,1.3960868,106.70909,106.70909,106.70909,0.0,0.0,106.70909,106.70909,0.0,164.3814,0.0,3.1903694,85.968544,85.968544,62.365204,62.365204,0.85058594,0.85058594,2.3687906,2.448906,2.2967038,0.85212237,0.85212237,0.13406323,1.0,1.0,1.3960868,106.70909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,76.553375,98.264915,-0.16278076,1.0,97.5,98.264915,0.9818115,60.798172,1.1904297,0.092897,0.0,12.359768,-0.69384766,164.20175,48.555855,99.288826,1.1904297,72.29163,72.29163,0.31202787,0.31202787,-1.0,-1.0,-1.0,-0.16278076,2.0600078,0.26107687,1.8997713,148.28647,148.28647,74.47148,0.33333206,0.00576447,0.0045454535,-1.0,0.00085241353,0.0027468645,-0.1355896,0.16466083,0.0,0.39526367,29.202423,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,2,2,1,0,3,2,1,1,-1,0,1,41941,37100599,
