AK12_lead_mass,AK12_lead_pt,DR_AK12_tau,HTT_boosted,HTT_boosted_WithKinFit,HTT_semi_boosted,HTT_semi_boosted_WithKinFit,HTTv2_lead_mass,HTTv2_lead_pt,HadTop_eta,HadTop_pt,HadTop_pt_CSVsort3rd,HadTop_pt_CSVsort3rd_WithKinFit,HadTop_pt_boosted,HadTop_pt_boosted_WithKinFit,HadTop_pt_highestCSV,HadTop_pt_highestCSV_WithKinFit,HadTop_pt_multilep,HadTop_pt_semi_boosted,HadTop_pt_semi_boosted_WithKinFit,avg_dr_jet,b1_loose_pt,b1_pt,b2_loose_pt,b2_pt,detabb,detabb_loose,dr_lep1_tau_os,dr_lep2_tau_ss,dr_leps,drbb,drbb_loose,evtWeight,fitHTptoHTmass,fitHTptoHTpt,fittedHadTop_eta,fittedHadTop_pt,genTopPt,genTopPt_CSVsort3rd,genTopPt_CSVsort3rd_WithKinFit,genTopPt_boosted,genTopPt_boosted_WithKinFit,genTopPt_highestCSV,genTopPt_highestCSV_WithKinFit,genTopPt_multilep,genTopPt_semi_boosted,genTopPt_semi_boosted_WithKinFit,genWeight,htmiss,lep1_conePt,lep1_eta,lep1_fake_prob,lep1_genLepPt,lep1_pt,lep1_tth_mva,lep2_conePt,lep2_eta,lep2_fake_prob,lep2_genLepPt,lep2_pt,lep2_tth_mva,mT_lep1,mT_lep2,mTauTauVis,max_lep_eta,mbb,mbb_loose,minDR_AK12_L,minDR_AK12_lep,minDR_HTTv2_L,minDR_HTTv2_lep,minDR_HTTv2_tau,min_lep_eta,mindr_lep1_jet,mindr_lep2_jet,mindr_tau_jet,ptbb,ptbb_loose,ptmiss,res-HTT,res-HTT_CSVsort3rd,res-HTT_CSVsort3rd_WithKinFit,res-HTT_IHEP,res-HTT_highestCSV,res-HTT_highestCSV_WithKinFit,tau_eta,tau_fake_prob,tau_genTauPt,tau_mva,tau_pt,N_jetAK12,N_jetAK8,bWj1Wj2_isGenMatchedWithKinFit,bWj1Wj2_isGenMatched_CSVsort3rd,bWj1Wj2_isGenMatched_CSVsort3rd_WithKinFit,bWj1Wj2_isGenMatched_IHEP,bWj1Wj2_isGenMatched_boosted,bWj1Wj2_isGenMatched_boosted_WithKinFit,bWj1Wj2_isGenMatched_highestCSV,bWj1Wj2_isGenMatched_highestCSV_WithKinFit,bWj1Wj2_isGenMatched_semi_boosted,bWj1Wj2_isGenMatched_semi_boosted_WithKinFit,hadtruth,hadtruth_boosted,hadtruth_semi_boosted,lep1_charge,lep1_isTight,lep1_tau_charge,lep2_charge,lep2_isTight,nBJetLoose,nBJetMedium,nElectron,nHTTv2,nJet,nLep,nMuon,nTau,tau_charge,tau_isTight,run,luminosityBlock,event,
104.375,191.41008,2.0523512,0.0,0.0,0.5868298,0.0,-1.0,-1.0,1.3958896,110.1647,242.17944,97.57151,0.0,0.0,242.17944,242.17944,110.1647,191.41008,0.0,1.8361937,102.25267,102.25267,37.77357,-1.0,-1.0,1.3548584,2.1090472,1.230272,1.0999833,-1.0,1.4171413,0.11173334,1.0,1.0,1.3958896,110.1647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,83.59065,133.80553,0.29296875,1.0,133.5,133.80553,0.99694824,16.0603,0.06941223,0.13166319,0.0,12.654288,-0.82162476,53.794285,52.22927,158.2188,0.29296875,-1.0,97.10936,0.29378107,0.29378107,-1.0,-1.0,-1.0,0.06941223,1.0584432,0.913708,1.4191335,-1.0,137.65915,114.02419,0.5376488,0.13460374,0.08096398,-0.98986876,0.019766062,0.07693288,-1.0183105,0.15593469,0.0,0.38720703,45.139442,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,2,1,1,0,5,2,1,1,-1,0,1,60477,50413382,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.7967644,134.5227,134.5227,134.5227,0.0,0.0,134.5227,134.5227,134.5227,0.0,0.0,2.2297378,86.180855,86.180855,25.248327,-1.0,-1.0,0.38891602,1.0249944,1.4766362,0.7173632,-1.0,3.15359,0.09203919,1.0,1.0,1.7967644,134.5227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.32443,123.04462,34.561104,1.0913086,1.0,27.625,28.386354,0.4479828,32.17422,1.7873535,0.083533704,0.0,32.17422,0.9406738,90.707054,87.226425,26.950827,1.7873535,-1.0,98.60034,-1.0,-1.0,-1.0,-1.0,-1.0,1.0913086,0.6087198,0.5273022,0.9401138,-1.0,60.93513,155.84305,0.7273433,0.4251733,0.47744417,0.45788574,0.0146033885,0.10499759,0.9005127,0.1687172,0.0,0.5175781,26.355398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,2,1,1,0,3,2,1,1,-1,0,1,25299,21089678,
72.625,137.07669,2.8186417,0.0,0.0,0.4985578,0.0,-1.0,-1.0,2.3698487,40.339016,88.637764,58.68823,0.0,0.0,88.637764,88.637764,31.402586,137.07669,0.0,1.7528013,29.39187,29.39187,-1.0,-1.0,-1.0,-1.0,1.8201929,2.893344,2.716673,-1.0,-1.0,0.1566865,1.0,1.0,2.3698487,40.339016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,59.20142,67.03151,1.4282227,0.11793338,0.0,65.22975,0.7385254,37.94403,0.64331055,1.0,39.375,37.94403,0.95822144,61.214516,98.055336,63.951393,1.4282227,-1.0,-1.0,0.11743393,0.11743393,-1.0,-1.0,-1.0,0.64331055,0.5275842,1.177658,2.3686228,-1.0,-1.0,66.329475,0.16440581,0.2156922,0.11162069,-0.9843191,0.10779388,0.09183631,-0.43347168,0.15810494,0.0,0.04168701,35.111553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,-1,1,1,1,2,0,4,2,0,1,1,0,1,25553,21300880,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.4394169,85.04618,85.04618,85.04618,0.0,0.0,85.04618,85.04618,0.0,0.0,0.0,2.7828903,100.44043,100.44043,-1.0,-1.0,-1.0,-1.0,1.7992661,2.8685076,1.6946522,-1.0,-1.0,0.07559388,1.0,1.0,1.4394169,85.04618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,49.151775,70.61566,0.378479,0.092534736,0.0,70.61566,0.9897156,35.507713,-0.06174469,1.0,35.625,35.507713,0.963501,57.746967,117.07047,48.166615,0.378479,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.06174469,2.1611469,1.2780643,1.245035,-1.0,-1.0,116.66779,0.13391581,0.025610315,0.0042442866,-1.0,0.0021221188,0.003337735,0.084228516,0.16847369,0.0,0.2565918,26.530119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-2,1,1,1,1,1,0,3,2,1,1,-1,0,1,84098,70104262,
111.375,172.88852,1.6182013,0.0,0.0,0.18248495,0.0,-1.0,-1.0,2.1976614,46.903263,46.903263,46.903263,0.0,0.0,46.903263,46.903263,46.903263,172.88852,0.0,2.647176,65.38183,65.38183,-1.0,-1.0,-1.0,-1.0,1.9214697,2.239827,0.91491014,-1.0,-1.0,0.0916718,1.0,1.0,2.1976614,46.903263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,53.01464,58.305935,1.2514648,0.10927583,0.0,43.58049,-0.8451233,26.852234,0.56469727,1.0,27.125,26.852234,0.9876404,114.59268,66.82167,73.97322,1.2514648,-1.0,-1.0,0.40834218,0.40834218,-1.0,-1.0,-1.0,0.56469727,0.9401835,1.0552288,1.185473,-1.0,-1.0,113.46613,0.23342028,0.12341605,0.18427168,-0.987336,0.013097137,0.020408068,0.1942749,0.156589,0.0,0.6879883,38.128498,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,1,1,1,0,3,2,1,1,1,1,1,15444,12874561,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.7802618,78.70389,151.28386,129.93169,0.0,0.0,151.28386,151.28386,129.93169,0.0,0.0,1.731269,40.35067,40.35067,-1.0,-1.0,-1.0,-1.0,1.3000588,1.4801092,0.28292966,-1.0,-1.0,0.14163418,1.0,1.0,0.7802618,78.70389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,62.772675,61.67577,-0.20196533,1.0,39.875,61.67577,0.9581909,49.555614,-0.17883301,1.0,49.125,49.555614,0.9622803,19.821062,21.474918,53.974056,-0.17883301,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.20196533,1.6016836,1.3468649,2.189118,-1.0,-1.0,5.4461303,0.6691038,0.047586553,0.028596116,-0.99269843,0.014144884,0.026298571,0.80041504,0.16759275,0.0,0.024139404,27.162878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,1,1,1,1,0,4,2,1,1,1,0,1,43626,36366425,
92.0625,139.53154,3.3702662,0.0,0.0,0.85127383,0.0,-1.0,-1.0,0.90012693,145.36116,145.36116,145.36116,0.0,0.0,145.36116,145.36116,145.36116,139.53154,0.0,1.4569801,77.68176,77.68176,55.607784,-1.0,-1.0,0.021606445,2.8435886,1.696246,1.2340482,-1.0,1.1733557,0.07545264,1.0,1.0,0.90012693,145.36116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,43.244564,66.24079,0.55407715,1.0,63.375,66.24079,0.9949341,38.17331,-0.5830078,0.118161514,0.0,26.224709,-0.108989716,160.87852,95.02058,156.66698,0.55407715,-1.0,74.70365,3.0328703,3.0328703,-1.0,-1.0,-1.0,-0.5830078,1.503806,2.2366781,2.4391203,-1.0,111.67918,99.53332,0.7287901,0.110640675,0.17423372,-0.97803146,0.04800261,0.04937884,2.2426758,0.14789726,0.0,0.9213867,62.258595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-1,0,2,1,2,0,3,2,0,1,1,1,1,31244,26045609,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.6175125,58.599068,58.599068,58.599068,0.0,0.0,58.599068,58.599068,0.0,0.0,0.0,3.3698325,85.82517,85.82517,32.81248,32.81248,1.3951416,1.3951416,2.549203,2.130064,1.7922341,1.6697778,1.6697778,0.084092535,1.0,1.0,1.6175125,58.599068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,50.116234,28.594887,0.7322998,1.0,28.75,28.594887,0.9874573,11.598094,-0.7305908,0.023739913,0.0,14.217075,0.87579346,90.17773,44.958435,53.221905,0.7322998,94.77029,94.77029,-1.0,-1.0,-1.0,-1.0,-1.0,-0.7305908,0.9857935,1.7628607,2.448881,108.93173,108.93173,78.70717,0.20917912,0.014804842,0.012590372,-1.0,0.0005102837,0.002955499,0.7681885,0.16776615,0.0,0.1616211,27.038242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,2,2,0,0,3,2,2,1,-1,0,1,36882,30744890,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.1831617,14.31182,14.31182,14.31182,0.0,0.0,14.31182,14.31182,14.31182,0.0,0.0,2.5712667,59.104794,59.104794,-1.0,-1.0,-1.0,-1.0,2.7642202,2.7914627,1.7405052,-1.0,-1.0,0.09192287,1.0,1.0,2.1831617,14.31182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,51.798435,52.68335,-0.11061096,1.0,53.375,52.68335,0.9866333,36.624863,-1.4328613,0.118161514,0.0,31.18218,-0.11413956,102.767685,78.43062,68.923164,-0.11061096,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.4328613,1.167379,1.1448642,1.1783321,-1.0,-1.0,53.92955,0.13244452,0.04073186,0.042706553,-0.99678236,0.00043683732,0.0013002161,0.009796143,0.17303844,0.0,0.9477539,23.268192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,1,1,1,0,3,2,1,1,-1,1,1,53084,44250734,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.2763101,90.03836,90.03836,90.03836,0.0,0.0,90.03836,90.03836,90.03836,0.0,0.0,2.2599425,57.53154,57.53154,-1.0,-1.0,-1.0,-1.0,2.9385326,2.7907054,2.4229972,-1.0,-1.0,0.110920176,1.0,1.0,1.2763101,90.03836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.358,33.448982,61.827316,-1.5024414,1.0,61.75,61.827316,0.9578552,12.928374,-0.43914795,0.023739913,0.0,13.392682,0.34025574,125.04726,33.5021,179.46323,-0.43914795,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.5024414,2.7078495,0.6110978,2.0320282,-1.0,-1.0,64.23668,0.4816973,0.33435893,0.3685618,-0.9387874,0.12940586,0.12439684,1.434082,0.16236812,0.0,0.7182617,30.794062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,1,1,1,0,3,2,1,1,-1,1,1,15244,12707499,
