AK12_lead_mass,AK12_lead_pt,DR_AK12_tau,HTT_boosted,HTT_boosted_WithKinFit,HTT_semi_boosted,HTT_semi_boosted_WithKinFit,HTTv2_lead_mass,HTTv2_lead_pt,HadTop_eta,HadTop_pt,HadTop_pt_CSVsort3rd,HadTop_pt_CSVsort3rd_WithKinFit,HadTop_pt_boosted,HadTop_pt_boosted_WithKinFit,HadTop_pt_highestCSV,HadTop_pt_highestCSV_WithKinFit,HadTop_pt_multilep,HadTop_pt_semi_boosted,HadTop_pt_semi_boosted_WithKinFit,avg_dr_jet,b1_loose_pt,b1_pt,b2_loose_pt,b2_pt,detabb,detabb_loose,dr_lep1_tau_os,dr_lep2_tau_ss,dr_leps,drbb,drbb_loose,evtWeight,fitHTptoHTmass,fitHTptoHTpt,fittedHadTop_eta,fittedHadTop_pt,genTopPt,genTopPt_CSVsort3rd,genTopPt_CSVsort3rd_WithKinFit,genTopPt_boosted,genTopPt_boosted_WithKinFit,genTopPt_highestCSV,genTopPt_highestCSV_WithKinFit,genTopPt_multilep,genTopPt_semi_boosted,genTopPt_semi_boosted_WithKinFit,genWeight,htmiss,lep1_conePt,lep1_eta,lep1_fake_prob,lep1_genLepPt,lep1_pt,lep1_tth_mva,lep2_conePt,lep2_eta,lep2_fake_prob,lep2_genLepPt,lep2_pt,lep2_tth_mva,mT_lep1,mT_lep2,mTauTauVis,max_lep_eta,mbb,mbb_loose,minDR_AK12_L,minDR_AK12_lep,minDR_HTTv2_L,minDR_HTTv2_lep,minDR_HTTv2_tau,min_lep_eta,mindr_lep1_jet,mindr_lep2_jet,mindr_tau_jet,ptbb,ptbb_loose,ptmiss,res-HTT,res-HTT_CSVsort3rd,res-HTT_CSVsort3rd_WithKinFit,res-HTT_IHEP,res-HTT_highestCSV,res-HTT_highestCSV_WithKinFit,tau_eta,tau_fake_prob,tau_genTauPt,tau_mva,tau_pt,N_jetAK12,N_jetAK8,bWj1Wj2_isGenMatchedWithKinFit,bWj1Wj2_isGenMatched_CSVsort3rd,bWj1Wj2_isGenMatched_CSVsort3rd_WithKinFit,bWj1Wj2_isGenMatched_IHEP,bWj1Wj2_isGenMatched_boosted,bWj1Wj2_isGenMatched_boosted_WithKinFit,bWj1Wj2_isGenMatched_highestCSV,bWj1Wj2_isGenMatched_highestCSV_WithKinFit,bWj1Wj2_isGenMatched_semi_boosted,bWj1Wj2_isGenMatched_semi_boosted_WithKinFit,hadtruth,hadtruth_boosted,hadtruth_semi_boosted,lep1_charge,lep1_isTight,lep1_tau_charge,lep2_charge,lep2_isTight,nBJetLoose,nBJetMedium,nElectron,nHTTv2,nJet,nLep,nMuon,nTau,tau_charge,tau_isTight,run,luminosityBlock,event,
180.375,306.6128,2.6152225,0.93305844,0.0,0.55519795,0.0,176.125,287.66815,1.5617971,30.784445,56.429558,111.263756,287.66815,0.0,30.784445,56.429558,56.429558,270.2736,0.0,2.4609766,72.473816,72.473816,67.90641,67.90641,0.5997162,0.5997162,2.6423302,2.183614,1.7914494,2.6685846,2.6685846,0.0034684245,1.0,1.0,1.5617971,30.784445,0.0,0.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,146.16426,162.82552,-1.1259766,1.0,159.5,162.82552,0.9944763,19.63645,-0.8388672,1.0,19.375,19.63645,0.97250366,220.18596,34.081947,402.43,-0.8388672,142.95058,142.95058,0.17322977,0.17322977,0.25046736,1.9337969,0.25046736,-1.1259766,0.65381545,1.3391596,1.0799181,37.78682,37.78682,219.51263,0.8676351,0.13630223,0.12195215,-0.44563282,0.0410047,0.05266731,-0.1328125,0.13921016,0.0,0.8847656,215.80873,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-1,1,0,1,1,2,2,1,1,4,2,1,1,1,1,1,6753,23848621,
113.625,163.32791,0.57381356,0.0,0.0,0.08728028,0.0,-1.0,-1.0,0.06201683,140.81169,140.81169,140.81169,0.0,0.0,140.81169,140.81169,140.81169,146.43304,0.0,2.0550702,93.160576,53.163235,53.163235,-1.0,-1.0,0.005493164,1.3882746,2.5075042,1.2660381,-1.0,0.9512335,0.0045174416,1.0,1.0,0.06201683,140.81169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,89.80559,39.676327,0.5875244,1.0,39.875,39.676327,0.99560547,39.22046,-0.3399048,1.0,39.5,39.22046,0.9962158,19.23173,82.51297,47.850147,0.5875244,-1.0,65.65803,0.57381356,1.5893959,-1.0,-1.0,-1.0,-0.3399048,1.6602288,1.698352,0.70717627,-1.0,131.36678,157.3539,0.31524748,0.26561067,0.22040637,-0.992175,0.03770088,0.085140005,-0.5515137,0.15795065,0.0,-0.06915283,35.33399,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-2,1,1,2,1,1,0,4,2,1,1,-1,0,1,6753,23848706,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.79167926,133.51358,133.51358,133.51358,0.0,0.0,133.51358,133.51358,133.51358,0.0,0.0,2.058856,88.00967,88.00967,51.469883,51.469883,0.6308594,0.6308594,0.8449159,2.05084,1.3370199,1.8221064,1.8221064,0.004400624,1.0,1.0,0.79167926,133.51358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.33595,90.760994,-0.77197266,1.0,93.25,90.760994,0.992218,32.5611,-0.42059326,1.0,33.0,32.5611,0.9216919,48.949165,71.00113,22.021673,-0.42059326,112.6454,112.6454,-1.0,-1.0,-1.0,-1.0,-1.0,-0.77197266,1.7039773,0.91398066,1.5564742,95.61932,95.61932,54.673378,0.65372014,0.28330517,0.2475956,-0.9983536,0.03428306,0.081357725,0.28204346,0.17726648,0.0,0.88720703,20.271563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-1,1,2,2,0,0,3,2,2,1,1,1,1,6754,23852364,
60.6875,130.39626,3.594843,0.0,0.0,0.17335099,0.0,-1.0,-1.0,2.8999527,16.701363,169.03911,171.3794,0.0,0.0,171.3794,171.3794,169.03911,130.39626,0.0,2.4563887,68.27854,68.27854,-1.0,-1.0,-1.0,-1.0,2.1860554,3.8315578,2.737677,-1.0,-1.0,0.0039786627,1.0,1.0,2.8999527,16.701363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,137.70337,58.206276,-0.87768555,1.0,57.75,58.206276,0.9946594,56.056908,-1.017334,1.0,56.75,56.056908,0.9938965,144.9161,3.230324,114.198456,-0.87768555,-1.0,-1.0,0.41144216,0.41144216,-1.0,-1.0,-1.0,-1.017334,0.9459048,0.7934076,1.3534586,-1.0,-1.0,94.96201,0.12656122,0.17735335,0.019105375,-0.9899878,0.010908026,0.0104050785,1.2580566,0.15959355,0.0,-0.032043457,32.97066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,1,1,1,0,0,4,2,2,1,1,0,1,6754,23852489,
150.375,265.75922,2.9658384,0.0,0.0,0.6842224,0.0,-1.0,-1.0,1.9766599,64.3575,64.3575,64.3575,0.0,0.0,64.3575,64.3575,0.0,265.75922,0.0,2.9856024,146.05394,146.05394,30.096949,30.096949,1.402298,1.402298,3.1509128,3.029365,2.4817486,3.30248,3.30248,0.0034644788,1.0,1.0,1.9766599,64.3575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51.397003,98.95292,0.96606445,1.0,95.75,98.95292,0.99594116,85.31094,-0.8005371,1.0,86.25,85.31094,0.944397,135.16695,28.52406,187.9934,0.96606445,168.49805,168.49805,0.53574514,0.53574514,-1.0,-1.0,-1.0,-0.8005371,1.0137154,1.5094941,1.463632,116.39108,116.39108,59.822475,0.028888226,0.05429851,0.0508719,-1.0,0.014539342,0.0260555,2.1757812,0.18103497,0.0,0.5053711,22.219603,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-2,1,1,2,2,2,0,3,2,0,1,-1,0,1,6754,23853604,
141.125,238.5699,1.701607,0.0,0.0,0.06264964,0.0,-1.0,-1.0,0.38741514,358.41913,358.41913,358.41913,0.0,0.0,358.41913,358.41913,0.0,238.5699,0.0,2.41092,98.47292,98.47292,60.595833,60.595833,2.2404785,2.2404785,1.8995622,2.8511555,1.10734,2.8300529,2.8300529,0.0033342303,1.0,1.0,0.38741514,358.41913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,130.60603,124.4854,0.116363525,1.0,128.0,124.4854,0.9911194,96.05162,-0.9904785,1.0,94.75,96.05162,0.9959717,70.23045,65.082726,113.539185,0.116363525,242.6,242.6,0.5369383,0.5369383,-1.0,-1.0,-1.0,-0.9904785,1.0857979,2.1382,1.7289028,107.18476,107.18476,119.13025,0.13757199,0.0013898397,0.004523123,-1.0,5.5288794e-05,0.00066126307,1.5678711,1.0,26.4375,0.9277344,27.062464,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,1,2,2,0,0,3,2,2,1,1,1,1,7415,26186557,
93.75,137.24573,0.5504813,0.0,0.0,0.6456926,0.0,-1.0,-1.0,4.191498,2.8435361,2.8435361,2.8435361,0.0,0.0,2.8435361,2.8435361,2.8435361,137.24573,0.0,2.8831291,59.915054,59.915054,45.484543,45.484543,2.3060303,2.3060303,1.1481055,0.59151864,0.59633005,3.4471626,3.4471626,0.0036312498,1.0,1.0,4.191498,2.8435361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.150185,41.0215,0.34869385,1.0,41.5,41.0215,0.99472046,22.639303,0.385437,1.0,22.4375,22.639303,0.9180298,126.8005,99.33,38.150333,0.385437,180.03067,180.03067,0.39482564,0.39482564,-1.0,-1.0,-1.0,0.34869385,1.0377775,1.3903487,1.4734915,33.130146,33.130146,109.02778,0.6583517,0.0072088973,0.004247591,-0.9999924,0.00064857316,0.00050446,0.70983887,0.16442877,0.0,0.5131836,29.36321,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,1,2,2,1,0,3,2,1,1,-1,0,1,7415,26186900,
151.125,441.5136,0.2868629,0.0,0.0,0.08693583,0.0,-1.0,-1.0,1.073279,90.59761,255.32999,153.56483,0.0,0.0,90.59761,90.59761,153.56483,441.5136,0.0,2.6073234,191.43346,191.43346,-1.0,-1.0,-1.0,-1.0,0.48462033,2.5576887,2.9799147,-1.0,-1.0,0.0024032143,1.0,1.0,1.073279,90.59761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,147.43121,147.11835,0.44586182,1.0,148.5,147.11835,0.9907837,141.21556,-0.5389404,1.0,139.5,141.21556,0.99243164,331.37817,14.737786,77.613594,0.44586182,-1.0,-1.0,0.20791283,0.20791283,-1.0,-1.0,-1.0,-0.5389404,0.44574854,0.5695781,0.74031764,-1.0,-1.0,194.99632,0.69905335,0.14853211,0.13847767,-0.99973893,0.017025603,0.023917478,0.5109863,0.14138111,0.0,0.12963867,177.66808,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,1,1,1,1,0,5,2,1,1,-1,0,1,7415,26187514,
105.125,319.19516,0.13194916,0.0,0.0,0.26131833,0.0,-1.0,-1.0,1.6935529,215.94846,54.43523,54.43523,0.0,0.0,54.43523,54.43523,54.43523,212.11862,0.0,2.6704044,70.59166,70.59166,25.632034,-1.0,-1.0,2.0391235,2.2624812,0.60826325,2.8702765,-1.0,2.6714256,0.0048264447,1.0,1.0,1.6935529,215.94846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,161.69862,71.4285,0.6315918,1.0,67.75,71.4285,0.97546387,43.03919,0.13998413,1.0,42.875,43.03919,0.99398804,119.011795,124.36205,74.39133,0.6315918,-1.0,121.94934,0.13194916,0.57897455,-1.0,-1.0,-1.0,0.13998413,1.4195912,1.5835798,0.93042,-1.0,71.28387,164.26918,0.36207816,0.1748115,0.17900206,-0.9963908,0.03806045,0.09858,0.54833984,0.15655296,0.0,0.48632812,37.962868,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-1,1,2,1,1,0,4,2,1,1,1,0,1,6777,23934437,
138.25,240.29825,2.4364963,0.0,0.0,0.024491755,0.0,-1.0,-1.0,0.3883411,154.3787,154.3787,154.3787,0.0,0.0,154.3787,154.3787,154.3787,240.29825,0.0,2.2583861,170.69966,170.69966,-1.0,-1.0,-1.0,-1.0,2.0235338,3.2652423,2.942422,-1.0,-1.0,0.0050495,1.0,1.0,0.3883411,154.3787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,61.320114,181.7729,-0.087371826,1.0,176.0,181.7729,0.9220581,65.85445,-0.14401245,1.0,65.75,65.85445,0.9940491,43.773758,173.21696,110.321434,-0.087371826,-1.0,-1.0,0.7365226,0.7365226,-1.0,-1.0,-1.0,-0.14401245,2.241598,0.732348,1.0994467,-1.0,-1.0,121.19736,0.6779926,0.15575995,0.10262196,-0.99969226,0.02162763,0.012602578,-2.1289062,0.15940605,0.0,0.8696289,33.18804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-1,1,1,1,1,0,3,2,1,1,1,1,1,3565,12589413,
