AK12_lead_mass,AK12_lead_pt,DR_AK12_tau,HTT_boosted,HTT_boosted_WithKinFit,HTT_semi_boosted,HTT_semi_boosted_WithKinFit,HTTv2_lead_mass,HTTv2_lead_pt,HadTop_eta,HadTop_pt,HadTop_pt_CSVsort3rd,HadTop_pt_CSVsort3rd_WithKinFit,HadTop_pt_boosted,HadTop_pt_boosted_WithKinFit,HadTop_pt_highestCSV,HadTop_pt_highestCSV_WithKinFit,HadTop_pt_multilep,HadTop_pt_semi_boosted,HadTop_pt_semi_boosted_WithKinFit,avg_dr_jet,b1_loose_pt,b1_pt,b2_loose_pt,b2_pt,detabb,detabb_loose,dr_lep1_tau_os,dr_lep2_tau_ss,dr_leps,drbb,drbb_loose,evtWeight,fitHTptoHTmass,fitHTptoHTpt,fittedHadTop_eta,fittedHadTop_pt,genTopPt,genTopPt_CSVsort3rd,genTopPt_CSVsort3rd_WithKinFit,genTopPt_boosted,genTopPt_boosted_WithKinFit,genTopPt_highestCSV,genTopPt_highestCSV_WithKinFit,genTopPt_multilep,genTopPt_semi_boosted,genTopPt_semi_boosted_WithKinFit,genWeight,htmiss,lep1_conePt,lep1_eta,lep1_fake_prob,lep1_genLepPt,lep1_pt,lep1_tth_mva,lep2_conePt,lep2_eta,lep2_fake_prob,lep2_genLepPt,lep2_pt,lep2_tth_mva,mT_lep1,mT_lep2,mTauTauVis,max_lep_eta,mbb,mbb_loose,minDR_AK12_L,minDR_AK12_lep,minDR_HTTv2_L,minDR_HTTv2_lep,minDR_HTTv2_tau,min_lep_eta,mindr_lep1_jet,mindr_lep2_jet,mindr_tau_jet,ptbb,ptbb_loose,ptmiss,res-HTT,res-HTT_CSVsort3rd,res-HTT_CSVsort3rd_WithKinFit,res-HTT_IHEP,res-HTT_highestCSV,res-HTT_highestCSV_WithKinFit,tau_eta,tau_fake_prob,tau_genTauPt,tau_mva,tau_pt,N_jetAK12,N_jetAK8,bWj1Wj2_isGenMatchedWithKinFit,bWj1Wj2_isGenMatched_CSVsort3rd,bWj1Wj2_isGenMatched_CSVsort3rd_WithKinFit,bWj1Wj2_isGenMatched_IHEP,bWj1Wj2_isGenMatched_boosted,bWj1Wj2_isGenMatched_boosted_WithKinFit,bWj1Wj2_isGenMatched_highestCSV,bWj1Wj2_isGenMatched_highestCSV_WithKinFit,bWj1Wj2_isGenMatched_semi_boosted,bWj1Wj2_isGenMatched_semi_boosted_WithKinFit,hadtruth,hadtruth_boosted,hadtruth_semi_boosted,lep1_charge,lep1_isTight,lep1_tau_charge,lep2_charge,lep2_isTight,nBJetLoose,nBJetMedium,nElectron,nHTTv2,nJet,nLep,nMuon,nTau,tau_charge,tau_isTight,run,luminosityBlock,event,
124.5625,310.43314,0.6155809,0.0,0.0,0.58815867,0.0,-1.0,-1.0,0.83991015,316.6436,316.6436,316.6436,0.0,0.0,316.6436,316.6436,0.0,310.43314,0.0,2.4660673,143.42819,143.42819,29.052486,29.052486,1.9511719,1.9511719,2.098846,2.2883327,2.0927713,3.5815477,3.5815477,0.004476789,1.0,1.0,0.83991015,316.6436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,302.3174,59.348667,1.2773438,1.0,60.25,59.348667,0.93621826,40.479046,0.5805664,1.0,40.875,40.479046,0.98202515,224.13235,42.79223,63.173676,1.2773438,197.05222,197.05222,0.6155809,2.1168919,-1.0,-1.0,-1.0,0.5805664,0.7760765,1.3834823,0.76668215,114.7225,114.7225,397.8672,0.042099748,0.30947417,0.23076178,-1.0,0.07408759,0.082825065,1.1271973,0.16215621,0.0,-0.044952393,30.941519,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-1,1,2,2,1,0,3,2,1,1,1,0,1,316,872506,
101.9375,215.68909,3.2178743,0.0,0.0,0.07511344,0.0,-1.0,-1.0,1.9233942,82.626335,82.626335,82.626335,0.0,0.0,82.626335,82.626335,82.626335,215.68909,0.0,2.7089698,109.38781,-1.0,54.729725,-1.0,-1.0,0.98376465,1.5673237,3.2272513,4.0884547,-1.0,2.6379337,0.006568039,1.0,1.0,1.9233942,82.626335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,135.31342,55.700638,-1.6845703,1.0,57.25,55.700638,0.99072266,19.860859,2.0976562,1.0,18.625,19.860859,0.9034729,152.82693,47.968113,55.639786,2.0976562,-1.0,168.17459,1.8896229,1.8896229,-1.0,-1.0,-1.0,-1.6845703,1.850594,0.474636,0.73717237,-1.0,75.87331,112.37004,0.50896955,0.22851141,0.15628962,-0.46861058,0.01989565,0.055334814,1.5415039,0.13995838,0.0,0.012329102,73.98367,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-2,1,1,2,0,0,0,5,2,2,1,-1,0,1,316,872735,
105.1875,258.66147,2.8915026,0.0,0.0,0.5376506,0.0,-1.0,-1.0,0.674445,289.43298,88.31127,88.31127,0.0,0.0,289.43298,88.31127,88.31127,258.66147,0.0,2.0273376,255.28691,255.28691,98.98069,-1.0,-1.0,0.19641113,1.8954753,1.6422008,0.30351034,-1.0,2.1113286,0.004132764,1.0,1.0,0.674445,289.43298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,92.133446,250.71005,-0.7166748,1.0,245.5,250.71005,0.9890442,50.68127,-0.41601562,1.0,51.375,50.68127,0.9949951,240.90034,108.18188,207.95134,-0.41601562,-1.0,279.89948,2.5906427,2.5906427,-1.0,-1.0,-1.0,-0.7166748,1.290508,1.5895823,1.3812783,-1.0,222.17216,57.998707,0.73050374,0.16668336,0.14759484,-0.77343905,0.07174078,0.086962,0.7630615,1.0,44.875,0.91845703,44.60537,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,1,2,1,0,0,5,2,2,1,1,1,1,316,874838,
144.25,240.60423,0.25118756,0.0,0.0,0.50125,0.0,-1.0,-1.0,1.1715791,130.10258,130.10258,152.72319,0.0,0.0,130.10258,130.10258,0.0,156.65373,0.0,2.5801525,167.89548,129.83861,129.83861,-1.0,-1.0,0.6277313,0.56160176,2.9485936,2.5849771,-1.0,2.6076708,0.0023502498,1.0,1.0,1.1715791,130.10258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,112.732544,57.050983,0.08480835,1.0,58.875,57.050983,0.9862976,47.40218,0.013174057,1.0,47.25,47.40218,0.9732361,126.00766,54.912766,28.552017,0.08480835,-1.0,299.60187,0.25118756,0.37162986,-1.0,-1.0,-1.0,0.013174057,0.925204,1.8650234,1.63318,-1.0,96.573975,72.676346,0.56965965,0.09805273,0.02887849,-1.0,0.02467271,0.021229837,-0.45147705,1.0,53.25,0.765625,53.889072,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-1,1,2,1,1,0,4,2,1,1,1,1,1,1642,4544791,
131.875,258.79865,1.6399769,0.0,0.0,0.9615852,0.0,-1.0,-1.0,0.23416187,245.58029,245.58029,245.58029,0.0,0.0,245.58029,245.58029,245.58029,258.79865,0.0,1.8097829,56.575146,56.575146,38.50915,38.50915,1.4394531,1.4394531,1.6587588,3.0582793,1.683164,2.7882245,2.7882245,0.0025817584,1.0,1.0,0.23416187,245.58029,199.5,199.5,199.5,0.0,0.0,199.5,199.5,199.5,199.5,0.0,1.0,155.65091,79.59591,-0.5616455,1.0,77.25,79.59591,0.9929199,62.981724,-1.0935059,1.0,61.375,62.981724,0.9942627,175.69691,63.454666,60.715855,-0.5616455,114.62169,114.62169,1.6399769,1.9919015,-1.0,-1.0,-1.0,-1.0935059,0.7604122,1.0532227,1.2714162,38.812664,38.812664,113.04725,0.9859904,0.9740069,0.9941723,0.995689,0.9696009,0.960379,-0.9448242,1.0,46.5,0.7211914,26.784672,2,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,2,-1,1,2,2,0,0,5,2,2,1,1,1,1,1642,4545025,
92.4375,174.80061,3.8778296,0.0,0.0,0.022003345,0.0,-1.0,-1.0,0.518459,23.939537,23.939537,23.939537,0.0,0.0,23.939537,23.939537,0.0,174.80061,0.0,2.7586865,100.0406,100.0406,37.99129,37.99129,0.9996338,0.9996338,3.6421845,3.1598449,2.4815352,2.108027,2.108027,0.004543589,1.0,1.0,0.518459,23.939537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,102.53338,65.73583,-1.0441895,1.0,64.5,65.73583,0.9911194,29.486807,-0.050849915,1.0,21.0,20.943731,-0.21749115,145.45279,60.9575,109.64256,-0.050849915,118.514626,118.514626,0.97210985,0.97210985,-1.0,-1.0,-1.0,-1.0441895,1.5351529,1.1659629,1.0794551,96.50515,96.50515,90.6032,0.03749269,0.010443824,0.01931755,-1.0,0.00046919493,0.0027156684,1.9619141,0.14556946,0.0,0.56103516,59.74814,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-2,1,0,2,2,0,0,3,2,2,1,-1,0,1,1642,4545920,
78.25,221.08466,1.9773272,0.0,0.0,0.93041277,0.0,-1.0,-1.0,1.0454733,118.00531,96.23821,96.23821,0.0,0.0,96.23821,96.23821,96.23821,135.34102,0.0,1.780405,89.478676,89.478676,78.32561,26.696604,0.45959473,0.23925781,1.9516196,1.7667811,3.1088479,1.2822199,1.8168304,0.0021063776,1.0,1.0,1.0454733,118.00531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,87.37933,91.22814,-1.1635742,1.0,91.5,91.22814,0.9471741,91.193504,-0.732666,1.0,92.5,91.193504,0.9970093,194.35956,15.257545,94.285095,-0.732666,61.790398,133.74638,0.21260066,0.21260066,-1.0,-1.0,-1.0,-1.1635742,0.52895653,0.8900313,1.7218164,102.29165,104.60833,104.770905,0.80745,0.15969853,0.18613155,-0.9590944,0.027356975,0.06365911,-1.9411621,0.1617234,0.0,0.14111328,31.729082,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,1,3,2,1,0,4,2,1,1,-1,0,1,1656,4583958,
169.0,341.61737,0.19053546,0.0,0.0,0.14512075,0.0,-1.0,-1.0,1.5042431,91.895035,91.895035,91.895035,0.0,0.0,91.895035,91.895035,0.0,341.61737,0.0,2.9897907,224.45566,109.01462,109.01462,-1.0,-1.0,2.4232178,2.878333,2.507608,2.954067,-1.0,3.3006763,0.0039132754,1.0,1.0,1.5042431,91.895035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,52.169468,51.522934,-0.84936523,1.0,41.75,51.522934,0.97021484,46.87539,0.15536499,1.0,46.875,46.87539,0.99035645,84.79891,74.97118,310.48053,0.15536499,-1.0,556.75134,0.19053546,2.3956912,-1.0,-1.0,-1.0,-0.84936523,1.1032767,0.61961854,0.88432777,-1.0,178.50368,79.15166,0.028580412,0.004557236,0.014694697,-1.0,0.0028269337,0.009296574,1.6237793,1.0,179.0,0.39770508,159.26186,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,1,2,1,1,0,3,2,1,1,-1,0,1,1656,4584719,
89.9375,150.92625,0.2780766,0.0,0.0,0.5688276,0.0,-1.0,-1.0,1.8646574,110.367874,78.062706,22.008303,0.0,0.0,31.800228,31.800228,31.800228,150.92625,0.0,2.1450648,72.79474,72.79474,60.437817,60.437817,0.6833496,0.6833496,2.527116,2.8104193,2.206919,1.0944651,1.0944651,0.0032948009,1.0,1.0,1.8646574,110.367874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,92.39063,71.09963,-0.050247192,1.0,72.25,71.09963,0.9616089,13.361144,-2.2197266,1.0,12.65625,12.827994,-0.03473282,150.13316,68.498055,129.89046,-0.050247192,75.80538,75.80538,0.2780766,2.576092,-1.0,-1.0,-1.0,-2.2197266,1.3269596,0.9004434,0.7624086,121.3527,121.3527,96.78538,0.9284414,0.4148772,0.24989043,-0.6389184,0.079440676,0.14163639,-0.35620117,1.0,100.75,0.61083984,64.01618,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,0,2,2,1,0,5,2,1,1,1,0,1,9490,26277511,
98.0,256.88086,2.99864,0.26687142,0.0,0.32835513,0.0,212.875,234.0677,2.5967517,117.93205,218.60857,218.60857,234.0677,0.0,117.93205,117.93205,218.60857,256.88086,0.0,2.2881792,166.84175,166.84175,160.11234,-1.0,-1.0,1.5725098,1.5815606,2.2673137,0.875344,-1.0,3.0338302,0.0055218255,1.0,1.0,2.5967517,117.93205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,116.3197,48.269043,-1.7751465,1.0,47.125,48.269043,0.9944763,18.046137,-0.9326172,1.0,17.875,18.046137,0.9805298,149.72382,92.84049,29.143324,-0.9326172,-1.0,425.7419,1.5950865,1.5950865,1.4736989,1.626572,1.4736989,-1.7751465,1.5350263,1.4025078,1.1121956,-1.0,88.56594,119.81063,0.7856947,0.1388304,0.29362467,-0.63590306,0.03476103,0.062399577,-0.21868896,0.17587274,0.0,0.265625,21.25679,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-2,1,1,2,1,2,1,4,2,0,1,-1,0,1,9490,26277646,
