AK12_lead_mass,AK12_lead_pt,DR_AK12_tau,HTT_boosted,HTT_boosted_WithKinFit,HTT_semi_boosted,HTT_semi_boosted_WithKinFit,HTTv2_lead_mass,HTTv2_lead_pt,HadTop_eta,HadTop_pt,HadTop_pt_CSVsort3rd,HadTop_pt_CSVsort3rd_WithKinFit,HadTop_pt_boosted,HadTop_pt_boosted_WithKinFit,HadTop_pt_highestCSV,HadTop_pt_highestCSV_WithKinFit,HadTop_pt_multilep,HadTop_pt_semi_boosted,HadTop_pt_semi_boosted_WithKinFit,avg_dr_jet,b1_loose_pt,b1_pt,b2_loose_pt,b2_pt,detabb,detabb_loose,dr_lep1_tau_os,dr_lep2_tau_ss,dr_leps,drbb,drbb_loose,evtWeight,fitHTptoHTmass,fitHTptoHTpt,fittedHadTop_eta,fittedHadTop_pt,genTopPt,genTopPt_CSVsort3rd,genTopPt_CSVsort3rd_WithKinFit,genTopPt_boosted,genTopPt_boosted_WithKinFit,genTopPt_highestCSV,genTopPt_highestCSV_WithKinFit,genTopPt_multilep,genTopPt_semi_boosted,genTopPt_semi_boosted_WithKinFit,genWeight,htmiss,lep1_conePt,lep1_eta,lep1_fake_prob,lep1_genLepPt,lep1_pt,lep1_tth_mva,lep2_conePt,lep2_eta,lep2_fake_prob,lep2_genLepPt,lep2_pt,lep2_tth_mva,mT_lep1,mT_lep2,mTauTauVis,max_lep_eta,mbb,mbb_loose,minDR_AK12_L,minDR_AK12_lep,minDR_HTTv2_L,minDR_HTTv2_lep,minDR_HTTv2_tau,min_lep_eta,mindr_lep1_jet,mindr_lep2_jet,mindr_tau_jet,ptbb,ptbb_loose,ptmiss,res-HTT,res-HTT_CSVsort3rd,res-HTT_CSVsort3rd_WithKinFit,res-HTT_IHEP,res-HTT_highestCSV,res-HTT_highestCSV_WithKinFit,tau_eta,tau_fake_prob,tau_genTauPt,tau_mva,tau_pt,N_jetAK12,N_jetAK8,bWj1Wj2_isGenMatchedWithKinFit,bWj1Wj2_isGenMatched_CSVsort3rd,bWj1Wj2_isGenMatched_CSVsort3rd_WithKinFit,bWj1Wj2_isGenMatched_IHEP,bWj1Wj2_isGenMatched_boosted,bWj1Wj2_isGenMatched_boosted_WithKinFit,bWj1Wj2_isGenMatched_highestCSV,bWj1Wj2_isGenMatched_highestCSV_WithKinFit,bWj1Wj2_isGenMatched_semi_boosted,bWj1Wj2_isGenMatched_semi_boosted_WithKinFit,hadtruth,hadtruth_boosted,hadtruth_semi_boosted,lep1_charge,lep1_isTight,lep1_tau_charge,lep2_charge,lep2_isTight,nBJetLoose,nBJetMedium,nElectron,nHTTv2,nJet,nLep,nMuon,nTau,tau_charge,tau_isTight,run,luminosityBlock,event,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,3.0128045,56.054455,56.054455,91.082146,0.0,0.0,91.082146,91.082146,56.054455,0.0,0.0,2.4950428,65.80006,65.80006,-1.0,-1.0,-1.0,-1.0,2.1050756,2.9535394,3.4143732,-1.0,-1.0,0.00094589486,1.0,1.0,3.0128045,56.054455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.573798,54.207787,61.15287,-0.59484863,1.0,61.75,61.15287,0.9907532,40.52243,-2.0454102,1.0,40.125,40.52243,0.994751,89.34679,77.225204,136.67238,-0.59484863,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0454102,1.1156782,0.7959349,2.4539204,-1.0,-1.0,67.71544,0.66655123,0.4747854,0.26251575,-0.6095013,0.12751043,0.14988202,0.037139893,1.0,75.25,0.81640625,73.83525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-2,1,1,1,1,1,0,4,2,1,1,-1,1,1,10169,6065245,
100.6875,221.44965,0.5981855,0.0,0.0,0.09879527,0.0,-1.0,-1.0,2.2160525,203.92123,203.92123,203.92123,0.0,0.0,203.92123,203.92123,0.0,221.44965,0.0,2.2598999,108.79014,108.79014,-1.0,-1.0,-1.0,-1.0,0.86513144,0.57107925,0.3080966,-1.0,-1.0,0.00079513,1.0,1.0,2.2160525,203.92123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.573798,25.569065,86.96527,-0.48815918,1.0,87.5,86.96527,0.99346924,54.936356,-0.27264404,1.0,55.125,54.936356,0.99346924,68.57708,47.80369,51.6751,-0.27264404,-1.0,-1.0,0.0857375,0.0857375,-1.0,-1.0,-1.0,-0.48815918,1.5620562,1.2681576,0.9166961,-1.0,-1.0,28.823408,0.26240638,0.02177665,0.0036919268,-1.0,0.0019229183,0.002405844,0.24862671,1.0,47.375,0.9790039,39.853207,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,1,1,1,1,0,3,2,1,1,1,1,1,10169,6065722,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.135187,137.40634,137.40634,137.40634,0.0,0.0,137.40634,137.40634,137.40634,0.0,0.0,1.7106329,56.886646,56.886646,-1.0,-1.0,-1.0,-1.0,1.5708742,0.80111843,2.3700714,-1.0,-1.0,0.0012930682,1.0,1.0,1.135187,137.40634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.573798,63.14559,71.0701,-0.6237793,1.0,72.75,71.0701,0.9906311,28.335325,-0.071746826,1.0,28.9375,28.335325,0.9904175,5.3970885,67.81553,82.86048,-0.071746826,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6237793,2.3408988,1.1730872,1.4215913,-1.0,-1.0,46.735577,0.8548417,0.5379109,0.59613,-0.6903252,0.10963891,0.22392647,-0.30194092,1.0,44.625,0.9638672,47.391872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,1,1,1,1,0,3,2,1,1,-1,1,1,10169,6065800,
170.5,476.79843,3.5985296,0.90436727,0.0,0.26559576,0.0,143.125,418.5029,0.97542393,475.38113,475.38113,475.38113,418.5029,0.0,475.38113,475.38113,475.38113,476.79843,0.0,1.9707637,96.42664,-1.0,87.3541,-1.0,-1.0,0.9373779,1.5856887,0.7838566,1.0217828,-1.0,0.9902767,0.0022592528,1.0,1.0,0.97542393,475.38113,464.0,464.0,464.0,464.0,0.0,464.0,464.0,464.0,0.0,0.0,0.573798,195.83737,107.61233,-0.27233887,1.0,108.0,107.61233,0.99694824,29.303295,0.5430908,1.0,29.5625,29.303295,0.994751,52.7025,9.808776,63.685123,0.5430908,-1.0,96.92677,2.7025113,2.7025113,2.7040107,2.7040107,3.600255,-0.27233887,0.6492306,0.5416924,1.0551357,-1.0,181.44893,126.96842,0.95603675,0.98072296,0.9865465,0.9994065,0.9935395,0.95755404,-1.0058594,0.15564312,0.0,0.65966797,45.624977,2,2,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,2,-1,1,2,0,0,1,5,2,2,1,1,0,1,10169,6065841,
-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.6271694,83.98773,102.96849,83.98773,0.0,0.0,96.88576,96.88576,96.88576,0.0,0.0,2.146022,107.472595,107.472595,94.413635,94.413635,0.4739685,0.4739685,2.174094,2.2624824,0.61582065,2.1743398,2.1743398,0.0007215715,1.0,1.0,1.6271694,83.98773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.573798,63.04628,97.12168,0.6158447,1.0,94.5,97.12168,0.9981079,23.637331,0.9328613,1.0,24.5625,23.637331,0.951355,199.16788,104.00433,118.50854,0.9328613,183.41946,183.41946,-1.0,-1.0,-1.0,-1.0,-1.0,0.6158447,1.462998,1.7343457,0.8247266,99.17299,99.17299,115.11985,0.81741196,0.63077056,0.50692034,-0.5347625,0.46797025,0.47606537,-1.253418,0.1704021,0.0,0.31323242,25.14868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,1,3,2,2,0,6,2,0,1,1,0,1,10169,6065968,
130.75,248.2686,2.3099658,0.0,0.0,0.2789926,0.0,-1.0,-1.0,3.3779926,48.267845,48.267845,131.75969,0.0,0.0,48.267845,48.267845,0.0,248.2686,0.0,2.6469684,143.66347,143.66347,77.40361,77.40361,0.74609375,0.74609375,1.7805612,2.140371,2.5617309,2.9534993,2.9534993,0.001108741,1.0,1.0,3.3779926,48.267845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.573798,21.87354,130.37901,-0.9552002,1.0,130.0,130.37901,0.9960327,76.34116,-0.2555542,1.0,77.5,76.34116,0.99658203,121.83863,58.14642,126.18806,-0.2555542,226.75609,226.75609,0.66203105,0.66203105,-1.0,-1.0,-1.0,-0.9552002,1.0597602,0.87291515,1.3722664,72.66726,72.66726,57.69811,0.7242116,0.2869554,0.007452287,-1.0,0.010075257,0.0072545516,-0.3696289,0.1545498,0.0,0.96191406,47.44961,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,1,2,2,1,0,4,2,1,1,-1,1,1,10170,6066292,
83.5625,171.80637,2.6110067,0.0,0.0,0.96994364,0.0,-1.0,-1.0,2.4587893,24.740973,151.28546,118.84274,0.0,0.0,154.55363,151.28546,87.69003,171.80637,0.0,2.1779358,46.58699,46.58699,45.23012,45.23012,1.4508057,1.4508057,1.2764099,2.7699225,2.901569,2.3018682,2.3018682,0.0015975964,1.0,1.0,2.4587893,24.740973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.573798,103.702255,107.607414,1.2741699,1.0,106.25,107.607414,0.9884949,47.64603,0.31866455,1.0,43.75,43.483902,0.7996521,170.11177,108.20417,38.50676,1.2741699,104.65505,104.65505,0.16877659,0.16877659,-1.0,-1.0,-1.0,0.31866455,1.0027106,1.1717011,1.1653382,57.546524,57.546524,112.15866,0.8156303,0.3759348,0.16437507,0.38379666,0.08975205,0.15936558,1.3334961,0.17748076,0.0,0.57714844,20.120316,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,-1,0,4,3,1,0,7,2,1,1,1,0,1,10265,6122801,
113.125,227.35114,0.6523924,0.0,0.0,0.81921834,0.0,-1.0,-1.0,1.8064156,86.0901,164.79408,164.79408,0.0,0.0,144.75415,144.75415,0.0,227.35114,0.0,2.4934049,57.377186,57.377186,53.213028,53.213028,2.711914,2.711914,0.91180927,2.381619,2.447371,3.1502657,3.1502657,0.0021074878,1.0,1.0,1.8064156,86.0901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.573798,98.40045,132.90399,1.2541504,1.0,128.0,132.90399,0.98690796,110.333786,-0.72558594,1.0,107.25,110.333786,0.99349976,213.9418,124.50475,73.01325,1.2541504,216.96042,216.96042,0.27377987,0.27377987,-1.0,-1.0,-1.0,-0.72558594,1.2384702,1.0874634,1.972864,76.986916,76.986916,88.651276,0.725106,0.05834536,0.11258005,-1.0,0.0061092568,0.016330512,1.5822754,1.0,0.0,0.8774414,50.788788,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,1,2,2,2,0,4,2,0,1,1,1,1,10265,6123388,
219.25,415.3997,1.7336668,0.0,0.0,0.26928982,0.0,-1.0,-1.0,1.1639259,182.8045,182.8045,182.8045,0.0,0.0,182.8045,182.8045,182.8045,415.3997,0.0,2.2221417,81.530945,81.530945,26.971687,26.971687,0.93414307,0.93414307,3.0697207,2.4282553,1.9770279,1.4376986,1.4376986,0.0008999253,1.0,1.0,1.1639259,182.8045,213.0,213.0,213.0,0.0,0.0,213.0,213.0,213.0,0.0,0.0,0.573798,116.78582,139.218,-1.1901855,1.0,136.5,139.218,0.9968262,46.011257,0.09925842,1.0,46.25,46.011257,0.9760132,69.57012,67.92047,116.369125,0.09925842,68.49318,68.49318,1.7336668,2.4663591,-1.0,-1.0,-1.0,-1.1901855,1.8224597,0.4451145,1.2070501,96.94134,96.94134,119.34063,0.9585264,0.95550776,0.9728625,0.9962118,0.9187193,0.9174393,-1.8029785,0.18094577,0.0,0.6044922,22.260662,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,-1,1,2,2,1,0,7,2,1,1,-1,0,1,10265,6123439,
82.0625,200.22234,0.7890967,0.0,0.0,0.23815452,0.0,-1.0,-1.0,0.19299418,159.80487,159.80487,159.80487,0.0,0.0,159.80487,159.80487,159.80487,151.21529,0.0,1.871693,153.90022,153.90022,67.635574,67.635574,0.79418945,0.79418945,1.9386888,1.4419018,1.6027336,2.6029797,2.6029797,0.0011129462,1.0,1.0,0.19299418,159.80487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.573798,32.112892,102.81386,-0.33691406,1.0,104.0,102.81386,0.99194336,37.84773,0.9680176,1.0,38.375,37.84773,0.9756775,10.799361,35.307236,79.611145,0.9680176,212.05223,212.05223,0.6530644,0.6530644,-1.0,-1.0,-1.0,-0.33691406,1.5403651,0.7670769,0.6887428,108.8507,108.8507,55.88188,0.55713594,0.35698903,0.44860622,0.09157234,0.084960856,0.08796817,-0.07939148,0.1742868,0.0,0.49560547,22.380976,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,1,2,2,1,0,3,2,1,1,-1,0,1,10265,6123476,
